TrapCode,Lynx_1,Lynx_2,Lynx_3,Lynx_4,Lynx_5,Lynx_6,Lynx_7,Wildcat_1,Wildcat_2,Wildcat_3,Wildcat_4,Wildcat_5,Wildcat_6,Wildcat_7,Wolf_1,Wolf_2,Wolf_3,Wolf_4,Wolf_5,Wolf_6,Wolf_7
216,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
220,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
240,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
241,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
253,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
254,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
258,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
259,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
261,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
265,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
269,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
270,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
280,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
281,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
285,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
287,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
288,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211_235,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212_291,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
213_290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234_316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244_293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252_313,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
263_320,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266_294_309,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
267_310,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
277_301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
279_292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0