TrapCode,Session_1,Session_2,Session_3,Session_4,Session_5,Session_6,Session_7
216,14,14,14,14,14,14,6
217,14,14,14,14,12,14,14
218,14,14,14,14,14,14,14
219,14,14,14,14,14,14,14
220,14,14,14,14,14,14,14
224,14,14,14,14,14,14,14
225,14,14,14,14,14,14,14
226,14,14,14,14,14,14,14
227,14,14,14,14,14,14,14
228,14,14,14,14,14,14,14
229,14,14,14,14,14,14,14
230,14,14,14,14,14,14,14
231,14,14,14,14,14,14,14
232,14,14,14,14,14,14,14
233,14,14,14,14,14,14,14
236,14,14,14,14,14,14,14
237,14,14,14,14,14,14,14
238,14,14,14,14,14,2,0
239,14,14,14,14,14,14,14
240,14,14,14,14,14,14,14
241,14,14,14,14,14,14,14
242,14,14,2,0,0,0,0
243,14,14,14,14,14,14,14
245,14,14,14,14,14,14,14
246,14,14,14,14,14,14,14
248,14,14,14,14,14,10,12
249,14,14,14,14,14,14,14
250,14,14,14,14,14,14,14
251,14,14,14,14,14,14,14
253,14,14,14,14,14,14,14
254,14,14,14,14,14,14,14
255,14,14,14,14,14,14,14
256,14,14,14,14,14,14,14
257,14,14,14,14,14,14,14
258,14,14,14,14,14,14,14
259,14,14,14,14,14,14,14
260,14,14,14,14,14,14,14
261,14,14,14,14,14,14,14
262,14,14,14,14,14,14,14
264,14,14,14,14,14,14,1
265,14,14,14,14,14,14,14
268,14,14,14,14,14,14,14
269,14,14,14,14,14,14,14
270,14,14,14,14,14,14,14
271,14,14,14,14,14,14,14
272,14,14,14,14,14,14,14
273,14,14,14,14,14,14,14
274,14,14,14,14,14,14,14
275,13,14,14,14,14,14,14
276,13,14,14,14,14,14,14
278,12,14,14,14,14,14,14
280,13,14,14,14,14,14,14
281,12,14,14,14,14,14,14
282,12,14,14,14,14,14,14
283,11,14,14,14,14,14,14
284,14,14,14,14,14,14,14
285,14,14,14,14,14,14,14
287,14,14,14,14,7,14,14
288,7,14,14,14,14,14,14
289,8,14,14,14,14,14,14
299,0,0,0,0,8,14,14
303,0,0,5,14,14,14,14
306,0,0,4,14,14,14,14
311,0,0,7,14,14,14,14
211_235,14,14,14,14,14,14,14
212_291,14,14,14,14,14,14,14
213_290,14,14,14,14,14,14,14
234_316,14,14,14,14,14,14,14
244_293,14,14,14,14,14,14,14
247_295,14,14,14,14,14,14,14
252_313,14,14,14,14,14,14,14
263_320,14,6,0,0,14,14,14
266_294_309,14,14,14,14,14,14,14
267_310,14,14,14,14,14,14,14
277_301,13,14,14,14,14,14,14
279_292,13,14,14,14,14,14,14