TrapCode,Session_1,Session_2,Session_3,Session_4,Session_5,Session_6,Session_7,Session_8
118,14,14,14,14,14,14,14,11
119,14,14,14,14,14,14,14,11
120,14,14,14,14,14,14,14,14
122,14,14,14,14,14,14,14,9
124,14,12,14,14,13,14,14,11
125,14,14,11,14,14,14,14,14
127,14,14,14,14,13,14,14,8
129,0,9,14,14,14,12,14,14
130,14,14,14,14,14,14,14,14
132,14,14,14,14,14,14,14,10
133,14,14,14,14,14,10,11,10
134,14,14,14,14,14,14,14,12
135,14,14,11,14,14,14,14,14
140,14,14,14,14,10,14,14,10
142,14,14,14,14,14,14,14,11
143,14,14,14,14,14,14,14,10
144,14,14,14,14,13,9,0,0
146,14,14,14,14,14,14,14,10
147,14,14,14,14,14,14,14,9
148,14,14,14,14,14,14,14,14
149,14,14,14,14,14,14,14,14
150,14,14,14,14,14,14,14,9
151,14,14,14,14,14,14,14,9
152,14,14,14,14,14,14,14,8
153,14,14,0,14,14,14,14,10
154,14,10,14,0,0,0,0,0
155,14,14,14,14,12,14,14,14
156,14,14,14,14,14,14,14,12
157,14,14,14,14,13,14,14,12
160,14,14,14,14,14,14,14,10
161,12,14,14,14,14,14,14,14
163,10,12,14,9,0,10,14,5
167,14,14,14,14,12,14,14,10
170,14,14,14,14,14,14,14,14
171,14,14,14,14,13,14,14,14
172,14,14,14,14,8,14,14,14
173,14,14,14,14,14,14,14,0
174,14,14,14,14,14,14,14,14
175,14,14,14,14,14,14,1,0
178,14,14,14,14,14,14,14,11
179,8,14,14,14,12,14,14,13
182,0,0,12,14,14,14,11,0
183,0,0,12,14,14,14,3,0
184,0,0,12,14,14,14,14,9
188,14,14,14,14,14,14,14,8
190,0,0,0,6,14,14,14,9
191,0,0,12,14,14,14,14,8
121_176,14,7,13,14,14,14,14,14
123_189_195,14,14,14,14,14,14,14,9
126_194,14,14,14,14,14,14,14,11
128_208,14,14,14,14,14,14,14,10
131_192,14,14,14,14,14,14,14,10
136_207,14,14,10,6,14,14,14,14
137_203,14,14,14,14,14,14,14,11
138_187,9,5,14,14,14,14,14,11
139_193,14,14,14,14,14,14,14,3
145_185_196,14,14,14,14,14,14,14,9
158_205,14,14,14,14,14,14,14,8
162_198_202,14,14,14,12,14,14,14,11
164_200,14,14,14,14,14,14,14,10
165_177,14,14,14,14,14,14,14,11
166_199,14,14,14,14,14,14,14,11
168_181,14,14,14,14,14,14,14,14
169_201,14,13,0,3,12,14,14,11